epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,377.384,0.72248,0.40383,0.97133,0.92402,0.99099,0.98724,0.66862,1.19026,0.4768,1.47054,0.0001981,0.0001981,0.0001981
83,381.776,0.73709,0.39756,0.99395,0.92417,0.98815,0.9853,0.67223,1.15977,0.47114,1.43543,0.0001882,0.0001882,0.0001882
84,386.239,0.69427,0.39981,0.98663,0.9472,0.96971,0.98263,0.6553,1.17585,0.49279,1.45264,0.0001783,0.0001783,0.0001783
85,390.576,0.72718,0.40941,1.00692,0.94689,0.96368,0.98215,0.65035,1.19729,0.49822,1.49049,0.0001684,0.0001684,0.0001684
86,394.87,0.73609,0.39972,0.99766,0.94328,0.96396,0.98248,0.65147,1.18094,0.48825,1.48508,0.0001585,0.0001585,0.0001585
87,399.221,0.73394,0.42202,1.00189,0.93879,0.96721,0.98233,0.65594,1.16731,0.47247,1.47059,0.0001486,0.0001486,0.0001486
88,403.62,0.69984,0.39007,0.9798,0.95286,0.96396,0.98238,0.6579,1.16029,0.47861,1.48243,0.0001387,0.0001387,0.0001387
89,408.042,0.71396,0.40773,1.01913,0.93121,0.97569,0.98303,0.66877,1.15591,0.48344,1.4679,0.0001288,0.0001288,0.0001288
90,412.454,0.68318,0.37456,0.97328,0.93079,0.98198,0.98313,0.67781,1.14656,0.48431,1.44042,0.0001189,0.0001189,0.0001189
91,417.803,0.63478,0.32837,0.96614,0.9284,0.98198,0.98213,0.67047,1.14418,0.48573,1.44305,0.000109,0.000109,0.000109
92,422.123,0.62968,0.33812,0.96408,0.92348,0.98198,0.98199,0.67317,1.15888,0.49168,1.45728,9.91e-05,9.91e-05,9.91e-05
93,426.647,0.6161,0.32817,0.95619,0.92261,0.96664,0.98395,0.67483,1.15543,0.48182,1.46131,8.92e-05,8.92e-05,8.92e-05
94,431.997,0.59146,0.31292,0.95734,0.94414,0.95495,0.98445,0.67133,1.14898,0.48302,1.46421,7.93e-05,7.93e-05,7.93e-05
95,436.771,0.59614,0.31511,0.9504,0.93828,0.96396,0.98458,0.66817,1.14898,0.483,1.46676,6.94e-05,6.94e-05,6.94e-05
96,441.714,0.58732,0.3086,0.94252,0.93122,0.96396,0.98338,0.662,1.16469,0.4802,1.47601,5.95e-05,5.95e-05,5.95e-05
97,446.457,0.57838,0.30586,0.94368,0.93093,0.97136,0.98371,0.66106,1.17661,0.48039,1.4917,4.96e-05,4.96e-05,4.96e-05
98,451.107,0.58417,0.31282,0.93798,0.93093,0.97135,0.98258,0.66065,1.17781,0.48029,1.50056,3.97e-05,3.97e-05,3.97e-05
99,455.605,0.57006,0.3022,0.94074,0.93092,0.97123,0.98281,0.66168,1.1731,0.48332,1.4981,2.98e-05,2.98e-05,2.98e-05
100,459.959,0.56812,0.29897,0.91975,0.93099,0.97224,0.98299,0.66305,1.17169,0.48208,1.49871,1.99e-05,1.99e-05,1.99e-05
